Discourses,Discourses
and,and
gawdiness,gawdiness
A,A
grave,grave
and,and
decent,decent
habit,habit
as,as
well,well
as,as
behaviour,behaviour
is,is
the,the
duty,duty
and,and
practice,practise
of,of
all,all
that,that
are,are
not,not
puffed,puffed
up,up
by,by
a,a
fleshly,fleshly
mind,mind
The,The
Apostle,Apostle
who,who
would,would
have,have
men,men
to,to
lift,lift
up,up
holy,holy
hands,hands
requires,requires
in,in
like,like
manner,manner
that,that
women,women
should,should
adorn,adorn
themselves,themselves
in,in
modest,modest
Apparel,Apparel
with,with
shamefac'tness,shamefac'tness
and,and
sobriety,sobriety
Tim,Tim
This,This
is,is
as,as
necessary,necessary
an,an
act,act
of,of
obedience,obedience
as,as
Prayer,Prayer
is,is
an,an
act,act
of,of
worship,worship
Sisera's,Sisera's
Mother,Mother
was,was
exceeding,exceeding
eager,eager
that,that
her,her
Son,Son
should,should
return,return
with,with
a,a
Prey,Prey
of,of
divers,divers
colours,colours
for,for
it,it
is,is
thrice,thrice
repeated,repeated
Judg,judge
which,which
indeed,indeed
was,was
more,more
becoming,becoming
an,an
Heathen,Heathen
General,General
than,than
a,a
serious,serious
Christian,Christian
One,One
would,would
think,think
that,that
such,such
gay,gay
Feathers,Feathers
should,should
be,be
little,little
coveted,coveted
by,by
them,them
that,that
would,would
not,not
be,be
counted,counted
by,by
God,God
like,like
his,his
heritage,heritage
of,of
old,old
Jerem,Jerem
as,as
a,a
speckled,speckled
Bird,bide
By,By
the,the
variety,variety
and,and
abundance,abundance
Five,Five
changes,changes
of,of
Raiment,Raiment
were,were
thought,thought
a,a
very,very
liberal,liberal
Portion,Portion
for,for
Benjamin,Benjamin
a,a
peculiar,peculiar
Favourite,Favourite
when,when
Joseph,Joseph
made,made
himself,himself
known,known
to,to
his,his
brethren,brethren
and,and
the,the
rest,rest
had,had
not,not
so,so
much,much
Chests,Chests
of,of
rich,rich
Apparel,Apparel
were,were
the,the
Merchandize,merchandise
of,of
Tyre,Tyre
Ezek,Ezek
But,But
when,when
vast,vast
Wardrches,Wardrches
are,are
the,the
possession,possession
of,of
single,single
person,person
that,that
they,they
may,may
daily,daily
come,come
forth,forth
in,in
a,a
new,new
Dress,Dress
it,it
betrays,betrays
an,an
Haughtiness,Haughtiness
not,not
to,to
be,be
excus'd,excused
It,It
consists,consists
in,in
mens,mens
valuing,valuing
of,of
themselves,themselves
upon,upon
this,this
score,score
As,As
if,if
what,what
they,they
borrow,borrow
from,from
the,the
backs,backs
or,or
bowels,bowels
of,of
other,other
creatures,creatures
could,could
really,really
commend,commend
them,them
or,or
add,add
any,any
thing,thing
to,to
them,them
It,It
is,is
the,the
absurdest,absurdest
folly,folly
to,to
suppose,suppose
it,it
for,for
while,while
we,we
were,were
in,in
honour,honour
and,and
retain'd,retained
our,our
integrity,integrity
we,we
neither,neither
had,had
nor,nor
needed,needed
any,any
covering,covering
and,and
after,after
that,that
when,when
God,God
made,made
coats,coats
of,of
skins,skins
for,for
our,our
first,first
parents,parents
to,to
clothe,cloth
them,them
with,with
the,the
World,World
was,was
in,in
a,a
less,less
depraved,depraved
condition,condition
than,than
now,now
in,in
the,the
judgment,judgement
of,of
Christ,Christ
himself,himself
Solomon,Solomon
in,in
all,all
his,his
glory,glory
was,was
not,not
arayed,arrayed
like,like
the,the
